Filing Name,Extracted Table of Contents,URL,Conclusion,Table of Contents,Human Annotation,Outcome
scotus_filing_14836,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES ...................................  iii 
JURISDICTIONAL STATEMENT ........................  
1 
ISSUES PRESENTED ...........................................  
3 
STATEMENT OF THE CASE ................................  
4 
 A.   The COVID-19 pandemic and the Gover-
nor’s response ...............................................  
4 
 B.   Plaintiffs’ lawsuit .........................................  
7 
SUMMARY OF ARGUMENT ................................  11 
ARGUMENT ...........................................................  14 
 
I.   Plaintiffs Must Show That They Are En-
titled To A Preliminary Injunction, Which 
Is Granted Only In Exceptional Circum-
stances ..........................................................  14 
 II.   Plaintiffs Are Unlikely To Succeed On The 
Merits Of Their Free Speech Claim Under 
Any Level Of Scrutiny .................................  15 
App. 61 
A.   EO43 is constitutional under the defer-
ential Jacobson standard that applies 
to public health emergencies ................  16 
B.   EO43 withstands traditional First Amend-
ment scrutiny ........................................  
2 
1.  EO43 satisﬁes strict scrutiny ..........  24 
a. EO43 is narrowly tailored to serve 
the State’s overlapping interests 
in protecting the public health 
and the free exercise of religion ...  26 
b. There is no exemption for Black 
Lives Matter protests .................  32 
[ii]  2. EO43 is subject to, and satisﬁes, 
intermediate scrutiny .....................  35 
 III.   The District Court Acted Well Within Its 
Discretion In Determining That The Bal-
ance of Harms Weighs Against Entering An 
Injunction .....................................................  38 
CONCLUSION .......................................................  43 
 
[iii] ",http://www.supremecourt.gov/DocketPDF/20/20-1081/167665/20210129145950146_40534%20pdf%20Suhr%20appendix.pdf,"CONCLUSION 
 
For the foregoing reasons, Defendant-Appellee 
Governor J.B. Pritzker respectfully requests that this","{'STATEMENT ........................  ': '1', 'PRESENTED ...........................................  ': '3', 'CASE ................................  ': '4', 'response ...............................................  ': '4', 'lawsuit .........................................  ': '7', 'ARGUMENT ................................ ': '11', 'ARGUMENT ........................................................... ': '14', 'stances .......................................................... ': '14', 'Scrutiny ................................. ': '15', 'App.': '61', 'emergencies ................ ': '16', 'scrutiny ........................................  \n2': '1', 'scrutiny .......... ': '24', 'religion ... ': '26', 'protests ................. ': '32', 'scrutiny ..................... ': '35', 'Injunction ..................................................... ': '38', 'CONCLUSION ....................................................... ': '43'}",,other
scotus_filing_1551,"TABLE OF CONTENTS
TABLE OF AUTHORITIES. . . . . . . . . . . . . . . . . . . . ii
INTEREST OF THE AMICI CURIAE . . . . . . . . . . . 1
SUMMARY OF THE ARGUMENT. . . . . . . . . . . . . . 1
ARGUMENT . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4
I.
THE MANDATORY VACCINATION POLICY OF THE
UNIVERSITY OF CALIFORNIA IS A VIOLATION OF AN
INDIVIDUAL’S FUNDAMENTAL RIGHT TO BODILY
INTEGRITY AND THE RIGHT TO REFUSE UNWANTED
MEDICAL TREATMENT . . . . . . . . . . . . . . . . . . . . . . 4
A. Bodily integrity and the right to refuse
unwanted medical treatment is afforded the
highest protection and the vaccine mandate
that infringes on this right must pass strict
scrutiny, which this mandate does not, and,
therefore, the mandate violates student's
fundamental rights . . . . . . . . . . . . . . . . . . . . . 5
B. The flaws of Jacobson v. Commonwealth of
Massachusetts . . . . . . . . . . . . . . . . . . . . . . . . . 9
II. CONFIDENCE IN THE JUDICIARY. . . . . . . . . . . . . . 11
CONCLUSION. . . . . . . . . . . . . . . . . . . . . . . . . . . . . 14
ii
",http://www.supremecourt.gov/DocketPDF/21/21-295/193905/20210928131011036_21-295%20Amicus%20California%20Constitutional%20Rights%20Foundation.pdf,"CONCLUSION
For the reasons set out above, the decision of the
District Court should be reversed, and the case
remanded for the court to properly apply the strict
scrutiny test afforded to the fundamental rights that
have been violated by the University policy of forced
vaccination. 
Dated: September 28, 2021
Respectfully Submitted,
GARY G. KREEP
   Counsel of Record
932 D Street, Suite 1
Ramona, CA 92065
(760) 803-4029
gary@ggkmail.us
Counsel for Amici Curiae",{},,reverse
scotus_filing_1554,"TABLE OF CONTENTS 
Page 
INTRODUCTION ..................................................... 1 
STATEMENT ............................................................ 1 
REASONS TO DENY THE PETITION ................... 3 
I. 
This Petition Is a Patent Attempt 
to Circumvent the Restrictions 
on Appealability From an Order 
Denying a TRO. ................................... 4 
II. 
Petitioners Cannot Satisfy Their 
Burden of Showing a Clear and 
Indisputable Right to Mandamus 
Relief. ................................................... 5 
III. 
Petitioners’ Questions Presented 
Were Not Presented Below and 
Rely on Faulty Assumptions. .............. 6 
IV. 
Article III Is a Bar to the Petition 
Because Petitioners Lacked 
Standing at the Outset, or Their 
Claims Are Moot. ................................. 7 
CONCLUSION .......................................................... 8 
ii 
 
",http://www.supremecourt.gov/DocketPDF/21/21-295/194080/20210929131224081_Final%20Brief.pdf,"CONCLUSION 
The Petition for Writ of Mandamus should be 
denied.","{'INTRODUCTION .....................................................': '1', 'STATEMENT ............................................................': '1', 'PETITION ...................': '3', 'TRO. ': '4', 'Relief. ': '5', 'Assumptions. ': '6', 'Moot. ': '7', 'CONCLUSION ..........................................................': '8'}",,other
scotus_filing_1557,"TABLE OF CONTENTS 
 
Page 
 
TABLE OF AUTHORITIES ............................................... ii 
 
INTEREST OF AMICUS CURIAE ....................................... 1 
 
SUMMARY OF ARGUMENT .............................................. 2 
 
ARGUMENT .................................................................... 3 
 
 I. 
Recent cases and studies demonstrate 
 
 
natural immunity is greater than injected 
 
 
immunity ........................................................ 3 
 
 II. 
Bodily integrity is a fundamental right. ....... 7 
 
III. 
Unavoidably unsafe vaccines and informed 
   
consent. ......................................................... 11 
 
 IV. 
FDA’s alleged ‘vaccine approvals’ obscure 
   
legal reality. .................................................. 15 
 
 V. 
Government agencies misinform the 
   
public. ........................................................... 18 
 
 VI. 
This Court should resolve the split among 
   
the lower Courts. .......................................... 19 
 
CONCLUSION ............................................................... 22 
 
 
 
 
 
ii 
 
",http://www.supremecourt.gov/DocketPDF/21/21-295/194152/20210929210340743_Amicus%20Brief%2021-295.pdf,"CONCLUSION 
 
Amicus draws the attention of this Court to the 
crucial role of natural immunity in addressing not 
only Petitioners’ significant protected interests, but 
also those same interests of the public during this 
period of declared (but not currently scientifically 
validated) pandemic accompanied by untenable 
medical interventions. This Court ought to take 
notice, as well, that the President seeks to indirectly 
mandate EUA inoculations through employers, 
despite the settled jurisprudence that the States 
alone have such police power (if it exists), and the 
settled jurisprudence of this Court that all human 
beings have a right to informed consent and bodily 
integrity.  
Shall the most serious public health challenge in 
several generations be resolved by executive action 
and by private mandates under color of law without 
meaningful judicial review under the strict scrutiny 
standard? 
 Amicus respectfully requests that this Court 
grant the Petition for a Writ of Mandamus, or in the 
alternative, Certification, in the public interest and 
to protect the interests of the Petitioners and Amicus’ 
associates.  
Respectfully submitted,  
 
Patricia Finn, Esq.  
PATRICIA FINN ATTORNEY, P.C. 
58 East Route 59, Suite 4 
Nanuet, New York 10954 
Ph. 845.398.0521 
Fax: 888.874.5703 
patriciafinnattorney@gmail.com 
Counsel of Record for Amicus Curiae","{'CURIAE .......................................': '1', 'ARGUMENT ..............................................': '2', 'ARGUMENT ....................................................................': '3', 'immunity ........................................................': '3', 'right. ': '7', 'consent. ': '11', 'reality. ': '15', 'public. ': '18', 'Courts. ': '19', 'CONCLUSION ...............................................................': '22'}",,grant
scotus_filing_16012,"TABLE OF CONTENTS 
 
Page 
 
CERTIFICATE OF INTERESTED PERSONS AND CORPORATE 
DISCLOSURE STATEMENT .................................................................... C-1 
STATEMENT REGARDING ORAL ARGUMENT ................................................ i 
TABLE OF AUTHORITIES .................................................................................... iv 
PRELIMINARY STATEMENT ............................................................................... 1 
JURISDICTIONAL STATEMENT .......................................................................... 1 
STATEMENT OF ISSUES ....................................................................................... 2 
I. 
Collateral Estoppel ........................................................................................... 2 
II. 
Retaliation ........................................................................................................ 2 
STATEMENT OF THE CASE .................................................................................. 3 
I. 
Nature of the Case ........................................................................................... 3 
II. 
Course of Proceedings and Disposition Below ............................................... 4 
III. 
Statement of Facts ............................................................................................ 6 
The Parties ....................................................................................................... 6 
The First Action (Smith I) ................................................................................ 8 
First Post-Trial Motion in Smith I ................................................................... 8 
A New Administration & the Salary Equity Adjustment  ............................... 8 
Termination and Confession .......................................................................... 14 
Second Post-Trial Motion in Smith I ............................................................. 16 
University Equal Opportunity Program Complaint ....................................... 16 
Third Post-Trial Motion in Smith I ................................................................ 18 
The Second Action (Smith II) ........................................................................ 18 
IV. 
Standard of Review ........................................................................................ 19 
SUMMARY OF THE ARGUMENT ...................................................................... 20 
Case: 19-12560     Date Filed: 09/09/2019     Page: 5 of 65 
App. 52
 
iii 
 
I. 
Collateral Estoppel ......................................................................................... 20 
II. 
Retaliation ...................................................................................................... 22 
ARGUMENT ........................................................................................................... 23 
I. 
COLLATERAL ESTOPPEL (ISSUE PRECLUSION) ................................ 23 
 
The District Court Erred in Applying Collateral Estoppel (Issue 
Preclusion) to Professor Smith’s Second Lawsuit Where the 
Controlling Facts and Issues Were Distinct and Separate and Not 
Actually Litigated or in Existence during the First Lawsuit ......................... 23 
A. 
Collateral Estoppel Does not Apply to Professor Smith’s 
Second Lawsuit Because the Issues Are Not Identical and 
Were Never Litigated or in Existence in the First Lawsuit................. 25 
i. 
Equal Pay Act ............................................................................ 26 
ii. 
Title VII and FCRA .................................................................. 39 
B. 
Collateral Estoppel Should Not Apply Where Additional 
Evidence in the Second Lawsuit Revealed That the University 
Used Gender as a Means of Setting Salaries ....................................... 42 
II. 
RETALIATION ............................................................................................. 47 
 
The District Court Erred in Finding that the University did not 
Retaliate against Professor Smith Where the University Reset 
(Increased) Professor Smith’s Salary Consistent with Its Own New 
Salary Formula and Prior to Implementation Reduced Professor 
Smith’s Salary within Days or Weeks of Her Filing a Motion for a 
New Trial and Contended the Reduction was Due to Budget 
Constraints and a Novel ""Outlier Theory” .................................................... 47 
Equal Pay Act, Title VII and FCRA .............................................................. 47 
CONCLUSION ........................................................................................................ 53 
Case: 19-12560     Date Filed: 09/09/2019     Page: 6 of 65 
App. 53
 
iv 
 
",http://www.supremecourt.gov/DocketPDF/20/20-1231/170803/20210303124729711_40275%20pdf%20Smith%20I%20app.pdf,"CONCLUSION 
Appellant requests that the Court reverse the District Court’s grant of 
summary judgment to Appellee, grant Appellant’s motion for summary judgment 
on liability, remand the case to the District Court as needed, reverse the award of 
Court costs and provide other relief as determined.  
Respectfully submitted, 
 
/s/ Stephen M. Smith 
LA State Bar No. 28235  
Stephen M. Smith & Associates, LLC 
1425 North Broad Street 
Suite 201 
September 9, 2019  
 
 
New Orleans, Louisiana 70119  
Telephone: (504) 947-1400 
Telecopier: (504) 947-1100 
stevesmithlaw@aol.com 
 
/s/ Jennifer M. Smith 
FL Bar No. 964514 
Law Office of Jennifer Smith 
13506 Summerport Village Pkwy. 
Suite 108 
Windermere, Florida 34786 
Telephone: (321) 200-4946 
Telecopier: (407) 442-3023 
jensmithesq@aol.com 
 
Counsel for Appellant 
Case: 19-12560     Date Filed: 09/09/2019     Page: 64 of 65 
App. 111","{'STATEMENT ...............................................................................': '1', 'STATEMENT ..........................................................................': '1', 'ISSUES .......................................................................................': '2', 'Estoppel ...........................................................................................': '2', 'Retaliation ........................................................................................................': '2', 'CASE ..................................................................................': '3', 'Case ...........................................................................................': '3', 'Below ...............................................': '4', 'Facts ............................................................................................': '6', 'Parties .......................................................................................................': '6', 'I ...................................................................': '8', 'Adjustment  ...............................': '8', 'Confession ..........................................................................': '14', 'I .............................................................': '16', 'Complaint .......................................': '16', 'I ................................................................': '18', 'Review ........................................................................................': '19', 'ARGUMENT ......................................................................': '20', '5 of': '65', 'App.': '53', 'Estoppel .........................................................................................': '20', 'Retaliation ......................................................................................................': '22', 'ARGUMENT ...........................................................................................................': '23', 'Lawsuit .........................': '23', 'First Lawsuit': '25', 'Act ............................................................................': '26', 'FCRA ..................................................................': '39', 'Salaries .......................................': '42', 'RETALIATION .............................................................................................': '47', 'FCRA ..............................................................': '47', 'CONCLUSION ........................................................................................................': '53', '6 of': '65'}",,reverse
scotus_filing_16280,"TABLE OF CONTENTS 
Page 
INTEREST OF AMICUS CURIAE ............................. 1 
SUMMARY OF ARGUMENT ..................................... 4 
ARGUMENT ................................................................ 5 
I. 
Residents Of The District Are Denied The 
Essential Right Of Voting Representation In 
Congress. ............................................................... 5 
A. Voting 
Is 
A 
Fundamental 
Right 
“Preservative Of All Rights.” ......................... 5 
B. The 
Lack 
Of 
Congressional 
Voting 
Representation For District Residents 
Contravenes The Basic Constitutional 
Principle Of Self-Governance. ........................ 7 
II. The District Court Erred In Holding That 
Congress Lacks The Authority To Enact 
Legislation That Would Enfranchise District 
Residents. ............................................................ 10 
A. The District Clause Grants Congress 
Plenary Legislative Power Over The 
District. ......................................................... 10 
B. Legal Precedent Supports Congress’s 
Authority to Provide Voting Rights For 
The District. .................................................. 17 
C. Congress Understands Its District Clause 
Authority To Include The Power To 
Legislate Voting Rights For District 
Residents. ...................................................... 21 
CONCLUSION .......................................................... 24 
 
ii 
",http://www.supremecourt.gov/DocketPDF/20/20-1279/175700/20210414131519905_Castanon%204.14.2021%2010am%20PDFA%20FINAL.pdf,"CONCLUSION  
For the foregoing reasons, the House urges this 
Court to hold that the Constitution grants Congress 
the power to enact legislation providing District 
residents with the fundamental right to voting 
representation in Congress. 
Respectfully submitted,  
 
DOUGLAS N. LETTER 
   General Counsel 
   Counsel of Record 
MEGAN BARBERO 
ERIC R. COLUMBUS 
LISA K. HELVIN 
OFFICE OF GENERAL COUNSEL 
U.S. HOUSE OF REPRESENTATIVES 
5140 O’Neill House Office Bldg.  
Washington, D.C. 20515 
(202) 225-9700 
douglas.letter@mail.house.gov 
 
April 14, 2021","{'CURIAE .............................': '1', 'ARGUMENT .....................................': '4', 'ARGUMENT ................................................................': '5', 'Congress. ': '5', 'Governance. ': '7', 'Residents. ': '21', 'District. ': '17', 'CONCLUSION ..........................................................': '24'}",,grant
scotus_filing_16282,"TABLE OF CONTENTS 
 
INTERESTS OF AMICI CURIAE .........................1 
I. The 
Importance 
of 
Granting 
D.C. 
Residents Full and Equal Democratic 
Rights. ................................................................1 
II. The 
Interests of 
the 
D.C. 
Affairs 
Community. .......................................................2 
III.The 
Interests 
of 
Other 
Legal 
Organization Amici. ..........................................3 
IV. The Interests of Individual Amici. ....................3 
INTRODUCTION ...................................................4 
SUMMARY OF ARGUMENT ................................6 
ARGUMENT ...........................................................7 
I. D.C.’s Lack of Voting Representation 
May Force Lawyers to Explore Other 
Ways to Advocate for Clients in D.C. ...............7 
A. In Taking the Lawyers’ Oath, D.C. 
Lawyers, 
Like 
Other 
Lawyers 
Practicing in the United States, Swear 
to Uphold the Constitution. .........................7 
B. Lawyers Must Consider Whether Their 
Advocacy for D.C. Clients Will Be 
Affected by the Lack of D.C. Voting 
Representation. ............................................8 
 
 
ii 
 
 
II. D.C.’s Lack of Representation in Our 
National Legislature Constrains the 
Administration of Justice. ............................... 11 
A. Lack of Control Over D.C.’s Own Tax 
Dollars:  Unlike State and Local 
Governments in the 50 States, D.C. 
Currently Cannot Control Expenditure 
and Appropriation of Its Own Tax 
Dollars. ....................................................... 13 
B. Reduced Ability to Ensure D.C. (and 
National) Safety:  Control Over the 
Local Metropolitan Police Department 
and National Guard Resides With the 
President. ................................................... 17 
C. Lack of Control Over D.C.’s Courts:  
D.C. Does Not Have Control Over Its 
Own Courts. ............................................... 18 
D. Lack of Control Over D.C. Prosecutors:  
Prosecutors of Felonies and Many 
Misdemeanors 
in 
D.C. 
Are 
Unaccountable to D.C. Voters. .................. 21 
E. Negative Effects on Penal Systems:  
Lack of Local Control Over the Penal 
System Impacts Representation................ 23 
 
 
iii 
 
 
III.Lawyers and Citizens in D.C. Lack the 
Right to Meaningfully Petition the 
Government. .................................................... 24 
F. Representation of D.C. Citizens in the 
Parole System:  D.C.’s Lack of Control 
Over Parole Issues Raises Serious 
Constitutional Concerns. ........................... 25 
CONCLUSION ..................................................... 27 
APPENDIX ........................................................... 1a 
 
iv 
 
 
",http://www.supremecourt.gov/DocketPDF/20/20-1279/175729/20210414150102962_20-1279%20Amici%20Brief.pdf,"CONCLUSION 
In 1949, President Truman wrote, “We should 
take adequate steps to assure that citizens of the 
United States are not denied their franchise merely 
because they reside at the Nation’s Capital.”44  
Amici agree.  For all the reasons stated here and in 
the Petitioners’ brief, Amici Curiae ask this Court 
to note probable jurisdiction, grant the relief 
 
43 Avis E. Buchanan, Improve D.C.’s parole practices, The 
Washington Post (Aug. 14, 2015), https://www.washing-
tonpost.com/opinions/improve-dcs-parole-prac-
tices/2015/08/14/56b9f03c-3475-11e5-8e66-
07b4603ec92a_story.html. 
44 Letter from President Truman to the Speaker of the House 
(July 25, 1949), https://www.trumanlibrary.gov/library/pub-
lic-papers?month=7&endyear=5&searchterm=fran-
chise&yearstart=5&yearend=All (last visited April 12, 2021).","{'Justice. ': '11', 'in the': '50', 'Dollars. ': '13', 'President. ': '17', 'Courts. ': '18', 'Voters. ': '21', 'Impacts Representation': '23', 'Government. ': '24', 'Concerns. ': '25', 'CONCLUSION .....................................................': '27', 'APPENDIX ...........................................................': '1'}",,grant
scotus_filing_16492,"TABLE OF CONTENTS 
Page  
OBJECTION TO THE QUESTION PRESENTED ............................. 1 
STATEMENT OF THE CASE AND PROCEDURAL  
HISTORY .............................................................................................. 2 
LEGAL DISCUSSION .......................................................................... 4 
A.   
Petition Does Not Seek Review of a Judgment  
of the California Supreme Court ..................................... 5 
B. 
Petition Also Does Not Seek Review of the Ninth 
Circuit’s Dismissal ........................................................... 6 
C. 
Petition is Frivolous ........................................................ 7 
 
 
 
 
ii 
 
 
",http://www.supremecourt.gov/DocketPDF/20/20-1318/176274/20210421175522156_Objection%20to%20the%20Petition%20Final.pdf,,"{'PRESENTED .............................': '1', 'HISTORY ..............................................................................................': '2', 'DISCUSSION ..........................................................................': '4', 'Court .....................................': '5', 'Dismissal ...........................................................': '6', 'Frivolous ........................................................': '7'}",,other
scotus_filing_16834,"TABLE OF CONTENTS 
Page: 
TABLE OF AUTHORITIES .......................................................................................... ii 
INTEREST OF THE AMICI CURIAE .......................................................................... 1 
SUMMARY OF ARGUMENT ....................................................................................... 1 
ARGUMENT .................................................................................................................. 3 
I. 
CONTRARY TO THE EIGHTH CIRCUIT’S PRECEDENT, THE 
ELEVENTH CIRCUIT’S DECISION CREATES ABSURD 
INCENTIVES FOR CRIMINALS NOT TO RETURN STOLEN 
PROPERTY OR MAKE THEIR VICTIMS WHOLE ............................... 5 
II. 
THE 
ELEVENTH 
CIRCUIT’S 
JUDICIAL 
INVENTION 
IMPROPERLY CONVERTS CRIMINAL FORFEITURE INTO A 
MANDATORY FINE ................................................................................ 8 
III. 
THE 
ELEVENTH 
CIRCUIT’S 
DECISION 
VIOLATES 
CONGRESS’S INTENT BY RENDERING SUPERFLUOUS THE 
ONLY STATUTE THAT AUTHORIZES A FORFEITURE MONEY 
JUDGMENT................................................................................................... 10 
CONCLUSION ............................................................................................................. 12 
 
 
ii 
",http://www.supremecourt.gov/DocketPDF/20/20-1370/179616/20210519123120935_20-1370%20Abrams%20Amicus%20Brief%20ALL%20FINAL%20PDFA.pdf,"CONCLUSION 
The Court should grant the petition. 
/s/ Joshua D. Greenberg  
 
 
 
Joshua D. Greenberg 
  Counsel of Record 
The Josh Greenberg Law Firm PLLC 
717 K Street, NW, Suite 900 
Washington, DC 20006 
(202) 422-0809 
josh@joshgreenberglawfirm.com 
 
Elliot S. Abrams 
Cheshire Parker Schneider, PLLC 
133 Fayetteville Street, Suite 400 
Raleigh, NC 27602 
(919) 833-3114 
elliot.abrams@cheshirepark.com 
 
and 
 
Jeffrey T. Green 
Co-Chair, Amicus Curiae 
  Committee 
NATIONAL ASSOCIATION OF 
  CRIMINAL DEFENSE LAWYERS 
1660 L STREET, N.W. #12 
Washington, DC 20005 
 
Counsel for Amicus Curiae 
 
Dated:  May 19, 2021","{'CURIAE ..........................................................................': '1', 'ARGUMENT .......................................................................................': '1', 'ARGUMENT ..................................................................................................................': '3', 'WHOLE ...............................': '5', 'FINE ................................................................................': '8', 'MONEY \nJUDGMENT': '10', 'CONCLUSION .............................................................................................................': '12'}",,grant
scotus_filing_17282,"TABLE OF CONTENTS 
TABLE OF AUTHORITIES .................................................................................... iv 
STATEMENT OF RELATED CASES .................................................................... vi 
STATEMENT OF THE ISSUE ................................................................................. 1 
STATEMENT OF THE CASE .................................................................................. 1 
I. 
Contract Award To OSI ........................................................................ 1 
II. 
Protest And Termination Of OSI’s Contract ......................................... 3 
III. 
OSI’s Breach Claim And The Board’s Opinion ................................... 3 
SUMMARY OF ARGUMENT ................................................................................. 4 
ARGUMENT ............................................................................................................. 5 
I. 
Standard Of Review .............................................................................. 5 
II. 
Exercising The Contractual Right To Terminate Was Not A  
Breach .................................................................................................... 6 
A. 
The Termination For Convenience Clause ................................. 6 
B. 
The Board Correctly Rejected OSI’s Arguments Regarding  
The Contract’s Guaranteed Minimum ........................................ 7 
C. 
The Board Correctly Rejected OSI’s Attempts To Reargue 
Bid Protest Matters Before The Board ..................................... 10 
1. 
This Is Not A Bid Protest Case And The Board 
Had No Jurisdiction To Entertain OSI’s Bid Protest 
Arguments ....................................................................... 10 
Case: 20-1087      Document: 17     Page: 2     Filed: 03/11/2020
735a
iii 
2. 
Neither The Termination For Convenience Clause  
Nor The CDA Grants Contractors A Right To Have 
Convenience Terminations Reviewed For Abuse Of 
Discretion ........................................................................ 11 
CONCLUSION ........................................................................................................ 15 
Case: 20-1087      Document: 17     Page: 3     Filed: 03/11/2020
736a
iv 
",http://www.supremecourt.gov/DocketPDF/20/20-1437/175300/20210408221625111_Petition%20Appendix%20Volume%202%20406pp.pdf,"CONCLUSION 
 
For these reasons, we respectfully request that the Court affirm the board’s 
decision. 
   
 
 
 
 
 
 
Respectfully submitted, 
JOSEPH H. HUNT 
 
 
 
 
 
 
 
Assistant Attorney General 
 
 
 
 
 
 
 
ROBERT E. KIRSCHMAN, JR. 
 
 
 
 
 
 
 
Director 
 
 
 
 
 
 
 
/s/ Patricia M. McCarthy 
 
 
 
 
 
 
 
PATRICIA M. MCCARTHY 
 
 
 
 
 
 
 
Assistant Director  
 
Case: 20-1087      Document: 17     Page: 21     Filed: 03/11/2020
754a","{'ISSUE .................................................................................': '1', 'CASE ..................................................................................': '1', 'OSI ........................................................................': '1', 'Contract .........................................': '3', 'Opinion ...................................': '3', 'ARGUMENT .................................................................................': '4', 'ARGUMENT .............................................................................................................': '5', 'Review ..............................................................................': '5', 'Breach ....................................................................................................': '6', 'Clause .................................': '6', 'Minimum ........................................': '7', 'Board ..................................... 10': '1', 'Arguments .......................................................................': '10', '2020': '736', 'iii ': '2', 'Discretion ........................................................................': '11', 'CONCLUSION ........................................................................................................': '15'}",,affirm
scotus_filing_17570,"TABLE OF CONTENTS 
TABLE OF AUTHORITIES ....................................... ii 
REPLY BRIEF ............................................................ 1 
ARGUMENT ............................................................... 2 
CONCLUSION ......................................................... 12 
ii 
",http://www.supremecourt.gov/DocketPDF/20/20-1486/181086/20210607145716947_2021-06-07%20Empire%20Reply%20FINAL.pdf,"CONCLUSION 
If, as the Ninth Circuit held, the statute at issue 
here compels Empire Health’s reading, then how HHS 
arrived at its contrary reading does not matter.  As 
Empire Health explained in its brief in opposition to 
HHS’s petition, the Ninth Circuit was correct and its 
decision does not warrant this Court’s review.  But if 
the Court grants review to decide, as HHS requests, 
whether HHS made a “permissibl[e]” choice, then the 
Court should grant Empire Health’s cross-petition so 
it can decide the procedural questions that are 
intertwined with whether HHS’s choice was in fact 
permissible.  To do otherwise would be to decide the 
rule’s reasonableness in a vacuum, ignoring why and 
how HHS made the choice it seeks to defend.  
This 
Court, 
therefore, 
should 
grant 
this 
conditional cross-petition if it grants HHS’s petition 
for certiorari. 
Respectfully submitted, 
Anne M. Voigts  
KING & SPALDING LLP 
601 S. California Ave. 
Suite 100 
Palo Alto, CA 94304 
(650) 422-6700 
avoigts@kslaw.com 
Daniel J. Hettich 
 Counsel of Record 
KING & SPALDING LLP 
1700 Pennsylvania Ave. NW 
Washington, DC 20006 
(202) 626-9128 
dhettich@kslaw.com 
Counsel for Cross-Petitioner 
June 7, 2021","{'BRIEF ............................................................': '1', 'ARGUMENT ...............................................................': '2', 'CONCLUSION .........................................................': '12'}",,grant
scotus_filing_17824,"TABLE OF CONTENTS 
 
QUESTIONS PRESENTED .................................. i 
RULE 29.6 STATEMENT .................................. iii 
TABLE OF AUTHORITIES ................................. v 
OPINION BELOW ................................................ 1 
JURISDICTION .................................................... 1 
STATEMENT ........................................................ 1 
REASONS FOR DENYING THE WRIT .............. 1 
CONCLUSION .................................................... 18 
 
 
 
 
 
 
v 
",http://www.supremecourt.gov/DocketPDF/20/20-1530/186828/20210805145523797_20-1530%2020-1531%2020-1778%20and%2020-1780%20BRIEF%20IN%20OPPOSITION%20OF%20NON-GOVERNMENTAL%20ORGANIZATION%20AND%20TRADE%20ASSOCIATION%20RESPONDENTS.pdf,"CONCLUSION 
The petitions for certiorari should be denied.","{'i \nRULE': '29', 'BELOW ................................................': '1', 'JURISDICTION ....................................................': '1', 'STATEMENT ........................................................': '1', 'WRIT ..............': '1', 'CONCLUSION ....................................................': '18'}",,other
scotus_filing_17829,"TABLE OF CONTENTS 
Page 
Table of Authorities ...................................................... ii 
Introduction .................................................................... 1 
Statement ....................................................................... 3 
Reasons to Deny the Petitions....................................... 9 
I. Certiorari Is Unwarranted Because EPA Is 
Reconsidering Its Approach to Regulating 
CO2 Emissions from Power Plants and 
Petitioners Face No Present Obligations. ........... 9 
A. EPA’s Ongoing Rulemaking Process 
Makes This Case an Exceptionally Poor 
Vehicle for Reviewing the Questions 
Presented. ........................................................ 9 
B. None of Petitioners’ Arguments Justify 
Immediate Review. ....................................... 12 
II. Certiorari Is Unwarranted Because the 
Decision Below Was Correct. ............................. 15 
A. The Court of Appeals Correctly Rejected 
the ACE Rule’s Reading of an Atextual 
Restriction into Section 111. ........................ 15 
B. The Statutory Dispute Here Does Not 
Implicate the Major-Questions Doctrine. .... 22 
C. Westmoreland’s Argument Based on 
Section 112 Does Not Merit This Court’s 
Review. ........................................................... 25 
Conclusion..................................................................... 28 
 
 
 
 
iii 
",http://www.supremecourt.gov/DocketPDF/20/20-1530/186866/20210805194638877_No%2020-1530%20et%20al.Brief%20for%20States%20and%20Municipalities%20in%20Opposition.pdf,"CONCLUSION 
The petitions for writs of certiorari should be 
denied. 
 
 
Respectfully submitted, 
 
LETITIA JAMES  
  Attorney General 
  State of New York 
BARBARA D. UNDERWOOD* 
  Solicitor General 
STEVEN C. WU 
  Deputy Solicitor General 
MICHAEL J. MYERS 
  Senior Counsel 
MATTHEW W. GRIECO 
  Assistant Solicitor General  
barbara.underwood@ag.ny.gov 
 
August 2021  
* Counsel of Record 
 
(Counsel listing continues on next page.)","{'Introduction ....................................................................': '1', 'Statement .......................................................................': '3', 'the Petitions': '9', 'Obligations. ': '9', 'Presented. ': '9', 'Review. ': '25', 'Correct. ': '15', 'into Section': '111', 'Doctrine. ': '22', 'on \nSection': '112', 'Conclusion.....................................................................': '28'}",,other
