Filing Name,Extracted Arguments from ToC,Conclusion,URL,proper_extraction,classification,salience-rating,annotator-uni
scotus_filing_35794,"I. The Court Is Likely To Note Probable Jurisdiction and Reverse or Vacate the Decision and Injunction Below 
A. Respondents Ignore the High Likelihood of Summary Vacatur and Remand as a Matter of Course 
B. Respondents Fail To Defend the District Court’s Many Legal Errors
II. Irreparable Harm Will Result Absent This Court’s Intervention, and the Balance of Equities Favors a Stay","CONCLUSION 
 
The Court should stay the injunction below and remedial proceedings pending 
appeal. Alternatively, the Court should stay the injunction and remedial proceedings 
pending its forthcoming Rucho and Benisek decisions, treat this stay application as a 
jurisdictional statement, and vacate and remand the opinion and injunction below 
once those decisions are issued for further consideration.",http://www.supremecourt.gov/DocketPDF/19/19-110/100473/20190521121506216_Draft%20REPLY%20Stay%20Application%20FINAL.pdf,True,Other,3.0,aae2155
scotus_filing_35800,"I.   Article I Forbids Favoring or Disfavoring a Political Party Through a District’s Design 
II.  Cracking and Packing is a Discoverable and Manageable Standard for Article I Claims
III. Cracking and Packing Can Also Test Equal Protection and First Amendment Claims","CONCLUSION 
 
 
The Court should postpone jurisdiction and set 
the case for briefing and argument on the issues 
raised herein.  
 
 
 
 
 
 
Respectfully submitted, 
 
Michael R. Geroe 
  Counsel of Record 
8049 Paseo Arrayan 
Carlsbad, CA  92009 
(816) 721-4814 
mgeroe@gmail.com    
 
Stephen M. Shapiro 
5111 Westridge Road  
Bethesda, MD  20816 
(301) 229-6241 
sshapiro@law.gwu.edu 
 
 
August 12, 2019",http://www.supremecourt.gov/DocketPDF/19/19-110/111975/20190812133220657_19-70%20Amicus%20Brief%20of%20Stephen%20M.%20Shapiro.pdf,True,Other,2.0,aae2155
scotus_filing_35915,"I. THERE IS NO CIRCUIT SPLIT REGARDING HOW TO ASSESS PETITIONERS’ FREE EXERCISE CLAIM.
I. THE PROCEDURAL POSTURE OF THIS CASE MAKES IT AN INAPPROPRIATE VEHICLE FOR THIS COURT’S INTERVENTION.
III. THIS CASE IS A POOR VEHICLE TO REEXAMINE SMITH BECAUSE EVEN UNDER PRE-SMITH LAW, THE CITY’S REQUIREMENT THAT CONTRACTORS CARRYING OUT A GOVERNMENT PROGRAM ABIDE BY THE TERMS OF THE PROGRAM WOULD BE VALID.
IV. THE THIRD CIRCUIT FAITHFULLY APPLIED THIS COURT’S “UNCONSTITUTIONAL CONDITIONS” PRECEDENTS","CONCLUSION 
 
The Court should deny the petition. 
 
 
 
 
Respectfully Submitted, 
Mary",http://www.supremecourt.gov/DocketPDF/19/19-123/118679/20191010125014465_No%2019%20123%20Sharonell%20Fulton%20et%20al%20v%20City%20of%20Philadelphia%20Pennsylvania%20et%20al%20Brief%20in%20Opposition%20for%20Intervenor%20Respondents.pdf,True,Deny,4.0,aae2155
scotus_filing_36753,"I. The District Court’s Remedy Is an Unprecedented Intrusion Into the Legislative Process.
II. Respondents’ Arguments Highlight Why a Stay Should Issue.
a. The Pending Decisions in Benisek and Rucho Necessitate a Stay
i. Democratic Voters’ Standing Arguments Highlight Rucho’s Potential Impact on this Case
b. Respondents’ Timing Concerns Are Unfounded and Fundamentally a Problem of Democratic Voters’ Own Making
c. Democratic Voters’ Misunderstanding of Michigan’s Legislative Processes Demonstrates Why a Stay Is Appropriate Here","CONCLUSION 
 
For the reasons set forth in this Reply, Applicants’ Emergency Motion, and Senate 
Intervenors’ Emergency Motion, Applicants respectfully request that this Court grant the requested 
stay.  
 
 
 
                                                             
4 The fact that Dr. Chen’s simulated maps were allowed into evidence at all will be a crucial 
issue on appeal. The evidentiary issues surrounding Dr. Chen’s simulations are legion. See Mot. In 
Limine to Exclude Expert Report of Dr. Chen (ECF No. 147). Among other things, Dr. Chen deleted 
his source code which deprived Defendants’ experts from assessing, inter alia, the reliability of the 
simulations. See id.; see also Daubert v. Merrell Dow Pharmaceuticals, Inc., 43 F.3d 1311, 1319 (9th Cir. 1995). 
Dr. Chen also failed to program Michigan’s proper redistricting criteria. See Mot. In Limine to Exclude 
Expert Report of Dr. Chen at 16-18 (ECF No. 147).",http://www.supremecourt.gov/DocketPDF/19/19-220/100491/20190521130334986_FINAL%20-%20Chatfield%20v%20LWV%20-%20Reply%20In%20Supp%20of%20Stay%20-%205_21_19.pdf,True,Grant,3.0,aae2155
scotus_filing_37074,"I.   This Court Should Grant Review to Pre-vent Its Sui Generis Campaign-Finance Jurisprudence from Undermining First Amendment Protection in Other Areas of the Law
 II.   The Ninth Circuit’s Ruling Conflicts with This Court’s Repeated Recognition That Compelled Disclosure Is Necessarily Chilling
A.   This Court Has Long Protected Pri-vate Association from Compelled Dis-closure 
B.   The Ninth Circuit’s Decision Below Conflicts with This Precedent
III.   The Ninth Circuit Applied the Wrong Level of Scrutiny Because of the Multiplic-ity of Tests Called “Exacting Scrutiny”
A.   Strict Scrutiny Applies to Burdens on Charitable Solicitation 
B.   The Ninth Circuit Applied Intermedi-ate Scrutiny, in Conflict with This Precedent, Because of the Confusing and Conflicting Labels This Court Has Applied to Its Tests","CONCLUSION 
 
For the reasons stated above, this Court should 
grant the petition for certiorari. 
Respectfully submitted, 
PAUL M. SHERMAN 
INSTITUTE FOR JUSTICE 
901 North Glebe Road, 
 Suite 900 
Arlington, VA 22203 
Tel: (703) 682-9320 
psherman@ij.org 
Counsel for Amicus Curiae 
 Institute for Justice 
 
“increas[ing] [his] investigative efficiency,” see Pet’r’s App. 19a, 
but, as this Court has noted, “the First Amendment does not per-
mit the State to sacrifice speech for efficiency,” Riley, 487 U.S. at 
795.",http://www.supremecourt.gov/DocketPDF/19/19-251/116781/20190924125402029_Brief%20of%20Amicus%20Curiae%20Institute%20for%20Justice%20in%20Support%20of%20Petitioners.pdf,True,Grant,3.0,aae2155
scotus_filing_37078,"I. The “Civic Courage” Required to Exercise First Amendment Rights Affecting the Integrity of the Legislative Process and the Election of Public Officials Is Not a Burden Imposed Upon Charities and Their Donors.
II. The Internet Has Created New Ways to Inflict Serious and Permanent Harm Upon Donors That Simply Didn’t Exist in the Days of NAACP v. Alabama.
III. Valuable Insight to the Risks of Public Disclosure Faced by Donors Can Be Found in the Examples of Harm Suffered by Prop 8 Supporters.
IV. The Public Threats, Harassment, Intimidation, and Retaliation Faced by Donors of Controversial Organizations Are Real, Not Speculative. 
1. Vandalism 
2. Death Threats 
3. Physical Violence 
4. Destruction of Livelihood
5. Harassment in the Workplace
V. The Ninth Circuit Failed to Consider the Severe Harm Suffered by Prop 8 Supporters in Assessing the Grave Risks of Disclosure Facing Petitioners and Their Donors.","CONCLUSION 
The real harms suffered by AFPF and the Law 
Center (as well as amicus Defense Fund) and their 
donors are not unique or isolated. The testimony of 
experts at trial, the shared experiences of other 
charities, and common sense inform the conclusion 
that all nonprofit organizations who maintain 
confidential donor information (especially those that 
engage in controversial public issues, no matter what 
end of the political spectrum) are exposed to the same 
public 
threats, 
harassment, 
intimidation, 
and 
retaliation, much of which is today enabled by 
information technology that wasn’t even imagined at 
the time of NAACP v. Alabama. 
The outcome of this case has real consequences.  It 
is inevitable that people will suffer tangible harm if 
the California Attorney General’s unlawful practice is 
allowed to stand. The petitions for writs of certiorari 
should be granted on this issue of exceptional 
importance.",http://www.supremecourt.gov/DocketPDF/19/19-251/116981/20190925130224833_2019.09.25%20TMLCvB%20CERT%20ABR%20Brief%20of%20Amicus%20Curiae%20Proposition%208%20Legal%20Defense%20Fund%20in%20Support%20of%20Petitioners.pdf,True,Grant,5.0,aae2155
scotus_filing_37096,"I. The Ability to Make Anonymous Dona-tions is an Important Vehicle for Encour-aging Broad-based Civic Participation
A. The State’s Bulk Collection of Chari-table Donor Information Threatens the Right to Make Anonymous Chari-table Donations Pursuant to the Dic-tates of Faith
B. The State’s Bulk Collection of Charitable Donor Information Deters Anonymous Giving for Secular Personal Reasons
C. The State’s Bulk Collection of Charita-ble Donor Information Puts Donors to Unpopular Social and Political Causes at Risk
II. The State Has No Compelling Interest in the Bulk Collection of Donor Information, Particularly Given the Serious Risks of Public Disclosure
III. California Has Ample Tools for Ensuring Compliance With State Law Without Any Need for the Bulk Collection of Donor In-formation","CONCLUSION 
 
For the forgoing reasons, amici respectfully re-
quest that this Court grant the petitions for writs of 
certiorari and reverse the judgment of the Ninth Cir-
cuit. 
Respectfully submitted, 
Se",http://www.supremecourt.gov/DocketPDF/19/19-251/117064/20190925154250709_38524%20pdf%20Hong%20II.pdf,True,Grant,4.0,aae2155
scotus_filing_37116,,"CONCLUSION 
The petitions for writs of certiorari should be de-
nied. 
Respectfully submitted, 
XAVIER BECERRA 
Attorney General of California 
MICHAEL J. MONGAN 
Solicitor General 
AIMEE FEINBERG 
Deputy Solicitor General 
TAMAR PACHTER 
Supervising Deputy Attorney  
  General 
JOSE A. ZELIDON-ZEPEDA 
Deputy Attorney General 
 
 
November 25, 2019 
 
 
                                         
364 U.S. at 486, 490 (invalidating compelled disclosure of all or-
ganizational affiliations of all public sc",http://www.supremecourt.gov/DocketPDF/19/19-251/123625/20191125172618870_Brief%20in%20Opposition_FINAL%20FOR%20FILING.pdf,True,Deny,1.0,aae2155
scotus_filing_37144,"I. These Cases Are Controlled by NAACP v. Alabama 
II. The Constitution’s Text, Its Context, and Early Precedent Confirm the Reach of the “Right of the People to Peaceably Assemble” 
III. This Court Recognizes the Importance of the Right of Assembly and Makes It Applicable to the States Via the Fourteenth Amendment 
IV. The Right of Assembly Goes Missing from This Court’s Jurisprudence, Being Replaced with a More Limited “Right of Association”
A. This Court in Roberts v. United States Jaycees Unduly Restricted the Right to Assembly Sub Silentio
B. This Court in Christian Legal Society v. Martinez Wrongly Disregarded the Organization’s Freedom of Assembly
V. This Court’s Precedent with Respect to First Amendment Freedoms Cognate with Assembly Should Guide This Court’s Assembly Jurisprudence","CONCLUSION 
 
After this Court’s decision in CLS, “the right of 
association bore little resemblance to the right of 
assembly that had existed for almost two hundred 
years of our nation’s history.”87  In deciding these 
cases, this Court should return to the text of the First 
Amendment and reconfirm its earlier precedent that 
the right of assembly stands on a co-equal footing with 
other First Amendment freedoms. 
 
Respectfully submitted, 
this 2",http://www.supremecourt.gov/DocketPDF/19/19-251/170083/20210225173920073_19-251%2019-255%20Amicus%20%20Br%20Concerned%20Women%20of%20America%20et%20al.pdf,True,Reverse,4.0,aae2155
scotus_filing_37159,"I. Disclosure Requirements Must Be Closely Drawn To Further A Sufficiently Important Government Interest.
A. The Freedom Of Association Is Crucial To Preserve Minority Viewpoints, And It Is Susceptible To Attack From Both The Government and Private Actors.
B. Compelled Disclosure Requirements Are Subject To Exacting Scrutiny.
C. The Ninth Circuit Misapplied This Court’s Exacting Scrutiny Standard.
II. The California Attorney General’s Disclosure Requirement Fails Each Prong of Exacting Scrutiny.
A. The Attorney General’s Disclosure Requirement Does Not Further A Sufficiently Important State Interest.
B. The Attorney General’s Disclosure Requirement Is Not Tailored To Avoid Unnecessarily Burdening Associational Freedoms.
III. The Fatal Constitutional Flaws In The California Attorney General’s Compelled Disclosure Regime Render It Meaningfully Distinct From The IRS’s Schedule B Requirement.
A. The IRS’s Schedule B Requirement May Satisfy The First Amendment.
B. The California Attorney General’s Disclosure Requirement Is Dissimilar On Every Point.","CONCLUSION 
This Court should reverse the decision of the 
United States Court of Appeals for the Ninth Circuit. 
Respectfully submitted. 
 
TH",http://www.supremecourt.gov/DocketPDF/19/19-251/170337/20210301112429633_CEO%20Amicus%20Brief%20-%20AFPF%20v.%20Becerra%20-%20TO%20PRINT%20and%20FILE.pdf,True,Reverse,5.0,aae2155
scotus_filing_12622,"i The Supremacy Clause Forbids Laches from Barring the Constitutional Claim in This Case 
ii The United States Constitution and a Federal Statute Established a Fixed Day for Presidential Elections ","CONCLUSION 
 
The Pennsylvania Supreme Court violated the Supremacy Clause when it 
elevated a state-law time bar over the Constitution of the United States. It also 
refused to acknowledge that the Constitution itself and a federal statute dictate the 
date on which the Presidential election must occur. Consequently, in addition to the 
reasons raised by the Applicants themselves, the judgment of the Pennsylvania 
Supreme Court is due to be reversed.  
 
Respectfully submitted December 8, 2020, 
 
/s/ Matthew J. Clark 
MATTHEW J. CLARK* 
  *Counsel of Record 
ROY. S. MOORE 
JOHN A. EIDSMOE 
TALMADGE BUTTS 
CONSTITUTIONAL ATTORNEYS 
P.O. Box 179 
Montgomery, Alabama 36101 
256-510-1828 
 
 
 
 
 
 
 
 
constitutionalattorneys@gmail.com 
  
                                                                                                                                                                                           
Amici simply observe that the COVID-19 pandemic does not justify an unconstitutional statute, 
especially since it was passed in 2019 before the pandemic hit the United States.",http://www.supremecourt.gov/DocketPDF/20/20-810/163088/20201208152905478_Motion%20to%20Submit%20Amicus%20Brief%20in%20Support%20of%20Application%20for%20Injunction.pdf,True,reverse,1.0,aec2244
scotus_filing_12870,"I. The Washington Supreme Court’s expansion of both Graham and Miller so as to encompass all sentences imposed on juveniles prosecuted in adult court goes too far
A. Narrow proportionality principle
B. Juveniles in adult court
C. Nonhomicide vs. homicide
II. Victims of juvenile crimes are often pushed to the wayside
III. This Court’s intervention is particularly necessary when the federal Constitution is misused to nullify a valid state statute","CONCLUSION
The petitions for writs of certiorari should be
granted.
January, 2021
Respectfully submitted,
KY",http://www.supremecourt.gov/DocketPDF/20/20-830/166819/20210120134115289_20-830tsacCJLF.pdf,True,grant,3.0,aec2244
scotus_filing_13155,"A) INTRODUCTION AND INTEREST OF THE AMICUS CURIAE
B) SUMMARY OF THE ARGUMENT 
C) ARGUMENT
D) THE QUESTION OF WHETHER THE SUPREME COURT OF PENNSYLVANIA VIOLATED THE ELECTORS CLAUSE IS GOVERNED BY INDE-PENDENT, NOT DEFERENTIAL, REVIEW\","CONCLUSION
The question of whether the Supreme Court of Pennsylvania violated the
Electors Clause is governed by independent, not deferential, review.
December 28, 2020
Respectfully submitted,",http://www.supremecourt.gov/DocketPDF/20/20-845/173165/20210326213257390_Trump_v._Boockvar_Bank_Amicus_Brief_20-845.pdf,True,other,0.0,aec2244
scotus_filing_14135,"A. Whether Evidence Obtained From Closed  and Locked Containers During An “Inventory Search” Should Have Been Excluded From Admission
B. Whether The Evidence Was Sufficient To Support A Conviction for Dealing
C. Whether Marling’s Sentence Could Be Enhanced For A First Time Dealing Offense","CONCLUSION 
For each of the foregoing reasons Marling 
respectfully requests the Court reverse all of his 
convictions as flowing from an illegal search, reverse 
his conviction for dealing in a controlled substance and 
remand for resentencing on the remaining counts as a 
result of the insufficiency of the evidence, and reverse 
his habitual offender enhancement and order it 
removed from Marling’s sentence. 
Respectfully submitted, 
ALCO",http://www.supremecourt.gov/DocketPDF/20/20-996/166184/20210113172701521_Marling%20v.%20Warden%20-%20Cert%20Petition%20Appendix.pdf,True,reverse,4.0,aec2244
scotus_filing_14781,"I. LAWS REGULATING BALLOT ACCESS FOR INITIATIVES IMPLICATE THE FIRST AMENDMENT IN THE SIXTH CIRCUIT AND IN COURTS ACROSS THE COUNTRY 
 
A. Ballot Initiatives Implicate Core Political Speech and Strict Scrutiny Under Meyer-Buckley 
B. The Sixth Circuit Has Consistently and Repeatedly Held that the First Amendment Applies to Ballot Initiatives 
C. The Sixth Circuit is on the Correct Side of an Emerging Circuit Split

II. UNDER ANDERSON-BURDICK THE IN-PERSON COLLECTION LAWS ARE UNCONSTITUTIONAL AS APPLIED 
A. During a Pandemic, the Combined Effect of Strict Enforcement of In-Person Collection Laws and Ohio’s Shutdown Orders Impose a Severe Burden on Circulators Warranting Strict Scrutiny
1. A Total Exclusion Litmus Test Was Not the Law Before the Pandemic
2. A Total Exclusion Litmus Test Is Not the Law Now
3. The First Amendment is Implicated Equally by Restrictions on Candidates’ and Initiatives’ Circulators
4. Ohio’s Vague First Amendment Exception Did Not Lessen the Severe Burden on Thompson’s Circulation Efforts
5. Thompson Has Been and Continues to Be Severely Burdened
6. Thompson was Effectively Denied Access to the Ballot and Meets Any Total Exclusion Litmus Test
B. Ohio’s In-Person Collection Laws Do Not Survive Strict Scrutiny
1. Ohio Cannot Demonstrate That Strict Enforcement of the In-Person Collection Laws During the Pandemic Is Necessary to Further Any Compelling State Interest
C. Ohio’s In-Person Collection Laws Do Not Even Survive Intermediate Scrutiny
 
III. INJUNCTIVE RELIEF IS REQUIRED TO REMEDY THOMPSON’S INJURY  
A. The Preliminary Injunction Factors Weigh in Favor of Granting Thompson Equitable Relief
B. The District Court Did Not Abuse Its Discretion By Awarding Thompson A Negative Preliminary Injunction
C. Thompson Is Also Entitled to Affirmative Relief
","CONCLUSION 
The District Court did not abuse its discretion.  Far from it, it did what was 
necessary both to protect First Amendment rights and the health and safety of 
Ohioans. Appellees respectfully request that the decision below be AFFIRMED. 
Respectfully submitted, 
 
/s/ Jeffrey T. Green 
 
 
Jeffrey T. Green  
SIDLEY AUSTIN LLP 
1501 K Street, N.W. 
Washington, D.C. 20005 
(202) 736-8000 
(202) 736-8711 (fax) 
E-mail: jgreen@sidley.com 
   
 
Dated: August 26, 2020  
Case: 20-3526     Document: 94     Filed: 08/26/2020     Page: 68
134a",http://www.supremecourt.gov/DocketPDF/20/20-1072/167925/20210202145239175_Thompson%20Pet%20App.pdf,True,affirm,3.0,aec2244
scotus_filing_1551,"I. THE MANDATORY VACCINATION POLICY OF THE UNIVERSITY OF CALIFORNIA IS A VIOLATION OF AN INDIVIDUAL’S FUNDAMENTAL RIGHT TO BODILY INTEGRITY AND THE RIGHT TO REFUSE UNWANTED MEDICAL TREATMENT
A. Bodily integrity and the right to refuse unwanted medical treatment is afforded the highest protection and the vaccine mandate that infringes on this right must pass strict scrutiny, which this mandate does not, and, therefore, the mandate violates student's fundamental rights
B. The flaws of Jacobson v. Commonwealth of Massachusetts
II. CONFIDENCE IN THE JUDICIARY","CONCLUSION
For the reasons set out above, the decision of the
District Court should be reversed, and the case
remanded for the court to properly apply the strict
scrutiny test afforded to the fundamental rights that
have been violated by the University policy of forced
vaccination. 
Dated: September 28, 2021
Respectfully Submitted,
GARY G. KREEP
   Counsel of Record
932 D Street, Suite 1
Ramona, CA 92065
(760) 803-4029
gary@ggkmail.us
Counsel for Amici Curiae",http://www.supremecourt.gov/DocketPDF/21/21-295/193905/20210928131011036_21-295%20Amicus%20California%20Constitutional%20Rights%20Foundation.pdf,True,reverse,5.0,aec2244
